period,time_step,Other,Load,WindOnshore,Solar
32,1,80939.0,355648.0,3405.0,69.0
32,2,82387.0,339558.0,3469.0,60.0
32,3,81378.0,331536.0,3444.0,59.0
32,4,82359.0,326852.0,3773.0,66.0
32,5,85372.0,327848.0,4068.0,69.0
32,6,89831.0,340238.0,4440.0,60.0
32,7,97081.0,376779.0,4840.0,104.0
32,8,104895.0,421718.0,5298.0,570.0
32,9,112009.0,449222.0,5885.0,2631.0
32,10,112649.0,456532.0,6397.0,6299.0
32,11,110729.0,458641.0,6874.0,10331.0
32,12,106967.0,459729.0,7220.0,14013.0
32,13,101947.0,455775.0,7597.0,16449.0
32,14,100466.0,451233.0,7413.0,16431.0
32,15,100176.0,447617.0,7278.0,14294.0
32,16,99740.0,444054.0,7434.0,10504.0
32,17,103565.0,443556.0,7964.0,4602.0
32,18,108720.0,453735.0,8226.0,1253.0
32,19,112062.0,466007.0,8297.0,247.0
32,20,111137.0,464864.0,8668.0,115.0
32,21,102531.0,446830.0,8926.0,85.0
32,22,92581.0,423359.0,8658.0,70.0
32,23,84980.0,401747.0,8633.0,65.0
32,24,81456.0,379484.0,8466.0,84.0
126,1,67123.0,278499.0,3701.0,180.0
126,2,66868.0,268073.0,3413.0,170.0
126,3,69674.0,262406.0,3329.0,170.0
126,4,69569.0,259117.0,3083.0,156.0
126,5,70232.0,258825.0,3172.0,173.0
126,6,71336.0,264213.0,3517.0,940.0
126,7,75737.0,281777.0,3453.0,5071.0
126,8,81241.0,305947.0,3312.0,13519.0
126,9,82961.0,325647.0,3032.0,23890.0
126,10,82428.0,334917.0,2730.0,32526.0
126,11,79978.0,337540.0,2765.0,38797.0
126,12,76980.0,336335.0,2800.0,43021.0
126,13,73162.0,329267.0,2877.0,45178.0
126,14,72407.0,319899.0,3084.0,44537.0
126,15,72989.0,313728.0,3309.0,40272.0
126,16,75158.0,308643.0,3420.0,33329.0
126,17,77510.0,308923.0,3348.0,25328.0
126,18,80182.0,313882.0,3052.0,16381.0
126,19,81354.0,317718.0,2931.0,8769.0
126,20,83673.0,318042.0,2988.0,3248.0
126,21,83754.0,315633.0,3124.0,1006.0
126,22,81885.0,311092.0,3160.0,537.0
126,23,75279.0,298763.0,2997.0,510.0
126,24,68531.0,277751.0,2865.0,507.0
149,1,68115.0,253458.0,3098.0,111.0
149,2,68890.0,245781.0,3199.0,111.0
149,3,71725.0,240525.0,2728.0,99.0
149,4,72300.0,240283.0,2978.0,100.0
149,5,72984.0,249499.0,3479.0,230.0
149,6,78601.0,280574.0,3636.0,2053.0
149,7,87553.0,317457.0,2919.0,8198.0
149,8,95373.0,343978.0,2197.0,17621.0
149,9,96306.0,359682.0,1646.0,28731.0
149,10,95612.0,368719.0,1241.0,38262.0
149,11,94356.0,374141.0,1168.0,46445.0
149,12,91825.0,375925.0,1206.0,50724.0
149,13,89352.0,376408.0,1307.0,52092.0
149,14,87511.0,372362.0,1123.0,50726.0
149,15,87367.0,369203.0,935.0,46886.0
149,16,89797.0,364661.0,850.0,39896.0
149,17,91582.0,362272.0,885.0,30366.0
149,18,95089.0,362260.0,752.0,19376.0
149,19,99522.0,361592.0,848.0,10030.0
149,20,100370.0,355752.0,482.0,4171.0
149,21,98161.0,348582.0,966.0,1317.0
149,22,91937.0,337582.0,1018.0,612.0
149,23,84394.0,317731.0,956.0,404.0
149,24,78509.0,293883.0,895.0,327.0
298,1,59344.0,287054.0,8194.0,216.0
298,2,60333.0,278728.0,7863.0,117.0
298,3,61946.0,275309.0,8116.0,97.0
298,4,63627.0,276397.0,9135.0,100.0
298,5,65751.0,290283.0,9009.0,93.0
298,6,72967.0,327609.0,8898.0,99.0
298,7,83125.0,370311.0,8237.0,364.0
298,8,87202.0,392026.0,8044.0,2354.0
298,9,85011.0,397857.0,8118.0,8673.0
298,10,81427.0,400005.0,8245.0,18246.0
298,11,78658.0,401169.0,7953.0,26486.0
298,12,76011.0,397674.0,7584.0,31156.0
298,13,76049.0,394599.0,7201.0,32442.0
298,14,76259.0,389194.0,6627.0,32028.0
298,15,70821.0,373863.0,6143.0,27964.0
298,16,75518.0,380351.0,6146.0,19772.0
298,17,80304.0,380633.0,5664.0,10017.0
298,18,86908.0,393284.0,5689.0,3060.0
298,19,93360.0,408303.0,5891.0,929.0
298,20,85895.0,393811.0,6084.0,502.0
298,21,74640.0,368543.0,5738.0,413.0
298,22,68551.0,346412.0,6100.0,339.0
298,23,63713.0,326487.0,5939.0,265.0
298,24,60044.0,304297.0,6051.0,211.0
