period,time_step,WindOffshore,Other,Load,WindOnshore,Solar
5,1,0.788526912,76378.0,317900.0,0.188772632,0.000360884
5,2,0.793555241,74306.0,310145.0,0.181948867,0.000351862
5,3,0.752195467,74505.0,306876.0,0.180135262,0.000360884
5,4,0.757790368,74797.0,305644.0,0.181427228,0.000360884
5,5,0.747096317,77145.0,308407.0,0.17915264,0.000360884
5,6,0.740793201,76482.0,312346.0,0.176398872,0.000360884
5,7,0.724362606,79296.0,327800.0,0.179759197,0.000378928
5,8,0.710694051,90176.0,353657.0,0.181779031,0.003338175
5,9,0.695892351,99272.0,372092.0,0.177587723,0.018486273
5,10,0.667634561,105459.0,383133.0,0.17040609,0.046653254
5,11,0.691855524,106832.0,390229.0,0.166675765,0.088254134
5,12,0.692280453,106244.0,392145.0,0.166524126,0.110836438
5,13,0.689872521,105895.0,394283.0,0.170266582,0.124026741
5,14,0.706728045,101267.0,390487.0,0.175816577,0.12445078
5,15,0.712252125,98662.0,386839.0,0.182179359,0.101065509
5,16,0.713314448,98967.0,385143.0,0.18666788,0.062938135
5,17,0.700070822,100869.0,384938.0,0.188699845,0.033192288
5,18,0.699716714,109608.0,392820.0,0.193261153,0.012215917
5,19,0.685056657,112396.0,393735.0,0.193637218,0.003338175
5,20,0.666076487,109050.0,387632.0,0.194965578,0.000983408
5,21,0.651699717,99144.0,374442.0,0.19546902,0.000424038
5,22,0.658286119,90129.0,358861.0,0.192296728,0.000424038
5,23,0.628116147,83229.0,343469.0,0.189524763,0.000424038
5,24,0.614235127,79667.0,330600.0,0.186394929,0.000433061
20,1,0.766855524,67419.0,330762.0,0.45044127,0.000360884
20,2,0.763031161,67919.0,329163.0,0.459636672,0.000360884
20,3,0.774433428,67685.0,327000.0,0.459691263,0.000360884
20,4,0.790580737,69662.0,329656.0,0.467133715,0.000360884
20,5,0.823512748,70841.0,333097.0,0.469487156,0.000360884
20,6,0.833711048,68839.0,336227.0,0.470930762,0.000360884
20,7,0.82733711,74003.0,355473.0,0.488163042,0.000415016
20,8,0.818626062,87680.0,384953.0,0.498650411,0.004050921
20,9,0.82825779,95874.0,401050.0,0.499384345,0.023574735
20,10,0.826912181,96034.0,406845.0,0.495217299,0.067873222
20,11,0.821954674,92783.0,409820.0,0.498674673,0.123882388
20,12,0.807365439,88736.0,409851.0,0.506778273,0.158418968
20,13,0.807365439,86733.0,409794.0,0.512255482,0.179287074
20,14,0.798866856,84136.0,404353.0,0.51287417,0.174090347
20,15,0.820184136,81747.0,397991.0,0.508949747,0.143577622
20,16,0.826983003,82426.0,395268.0,0.515082037,0.089345808
20,17,0.829815864,87486.0,396277.0,0.524083341,0.031658532
20,18,0.831373938,94330.0,404967.0,0.541176114,0.006171113
20,19,0.834915014,95220.0,407755.0,0.552397416,0.000333818
20,20,0.846883853,90143.0,401472.0,0.557049707,0.00017142
20,21,0.846671388,81963.0,386157.0,0.560476754,0.000153376
20,22,0.833498584,75901.0,370475.0,0.567634125,0.000144354
20,23,0.833640227,69196.0,355497.0,0.565359537,0.000144354
20,24,0.833498584,65856.0,345421.0,0.567330846,0.000144354
81,1,0.447946176,54926.0,277897.0,0.327892518,0.005494456
81,2,0.41388102,56472.0,278212.0,0.32178449,0.004628335
81,3,0.362818697,57680.0,277849.0,0.314281382,0.003581772
81,4,0.339164306,59690.0,278114.0,0.303484669,0.002228457
81,5,0.307011331,62050.0,282746.0,0.29506566,0.001533756
81,6,0.308711048,62699.0,292189.0,0.283844358,0.001371358
81,7,0.295325779,73261.0,316548.0,0.279440755,0.008363482
81,8,0.227832861,86032.0,337068.0,0.260479786,0.057010619
81,9,0.139235127,95196.0,362721.0,0.244666849,0.169272548
81,10,0.104674221,88309.0,368455.0,0.23908046,0.295058599
81,11,0.123654391,79149.0,367878.0,0.237800625,0.391369464
81,12,0.132507082,75916.0,368490.0,0.236399478,0.439791048
81,13,0.155594901,75305.0,369248.0,0.239802262,0.44414872
81,14,0.17223796,71736.0,364105.0,0.248372911,0.426086486
81,15,0.180169972,68008.0,356374.0,0.252157826,0.387156145
81,16,0.208711048,67557.0,350668.0,0.255275528,0.32081668
81,17,0.204532578,72246.0,349195.0,0.25614897,0.237795361
81,18,0.21713881,78433.0,347767.0,0.246535044,0.127545359
81,19,0.202124646,92254.0,355471.0,0.235210627,0.040888135
81,20,0.226628895,101135.0,364908.0,0.240469475,0.010573895
81,21,0.241288952,92776.0,353472.0,0.247074879,0.006089914
81,22,0.271883853,78870.0,335767.0,0.244909471,0.005972627
81,23,0.28427762,71715.0,322566.0,0.242477178,0.00590045
81,24,0.283923513,65386.0,308567.0,0.239802262,0.005178683
93,1,0.58470255,57480.0,245983.0,0.307433355,0.000396972
93,2,0.609206799,57099.0,242455.0,0.294659267,0.000378928
93,3,0.582436261,58737.0,242363.0,0.285706487,0.00038795
93,4,0.576487252,59577.0,242568.0,0.280957147,0.000369906
93,5,0.547804533,60742.0,243983.0,0.275813544,0.000396972
93,6,0.530453258,61554.0,245103.0,0.273387317,0.0015518
93,7,0.508286119,65328.0,251121.0,0.265775028,0.020723752
93,8,0.460269122,68416.0,261831.0,0.249416189,0.100650493
93,9,0.422167139,68342.0,275885.0,0.245904225,0.231867844
93,10,0.385694051,66876.0,286889.0,0.256064052,0.35853806
93,11,0.332932011,66945.0,296555.0,0.268122403,0.456987162
93,12,0.356303116,68615.0,306045.0,0.286604191,0.511787367
