Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;26.456463466311458;-5.24625763309247e-17;-8.025871371608241e-19;-0.011054027084199095;-0.009730320979205722;-0.000460863898540393;0.0;0.2007660545745569;0.0;0.21151934887220697;0.02230859813685803;0.0008813681331994521;0.0
2.0;26.31209731121743;-5.24625763309247e-17;-8.025871371608241e-19;-0.011036242826332032;-0.009713807025472575;-0.00046086389854039405;0.0;0.19664835297002559;0.0;0.21164962514904886;0.022213810656196917;0.0008813681331991917;0.0
3.0;26.196105869061178;-5.24625763309247e-17;-8.025871371608241e-19;-0.011059297057851667;-0.009735214526170925;-0.0004608638985403941;0.0;0.19380523418801293;0.0;0.2133183938275982;0.022135051251114465;0.0008226093805224402;0.0
4.0;25.95153261476316;-5.24625763309247e-17;-8.025871371608241e-19;-0.011105384857944227;-0.009778010340545795;-0.00046086389854039405;0.0;0.1925096256268932;0.0;0.2111519092888849;0.021970679749338813;0.0008226093805219757;0.0
5.0;25.59363010060442;-5.24625763309247e-17;-8.025871371608241e-19;-0.011334600761615844;-0.009990853679678589;-0.00046086389854039405;0.0;0.19513777415707315;0.0;0.21044708949614171;0.02172209734808776;0.0008226093805212525;0.0
6.0;26.783686284942746;-5.24625763309247e-17;-8.025871371608241e-19;-0.01103325397265028;-0.009711031661335984;-0.0004608638985403941;0.0;0.20200917525226852;0.0;0.21667497949350922;0.022526482835369586;0.0008813681332000385;0.0
7.0;24.25511090919423;-5.24625763309247e-17;-8.025871371608241e-19;-0.014209112286634868;-0.012660042952964998;-0.00046086389854039416;0.0;0.2046191061725953;0.0;0.2209892366414626;0.020451326390728698;0.01292674139207372;0.0
8.0;3.0662928273523917;-5.24625763309247e-17;-8.025871371608241e-19;-0.029562024399051434;-0.026916318486218897;-0.00046086389854039405;0.0;0.1565436035566435;0.0;0.17602065933701178;0.0028049840876610953;0.09360185416056292;0.0
9.0;2.473641277272076;-5.24625763309247e-17;-8.025871371608241e-19;-0.03138047689581363;-0.02860488151901829;-0.000460863898540394;0.0;0.1524915514743881;0.0;0.17136452811510228;0.0027292319823853444;0.12351921999091657;0.0
10.0;1.81455078840769;-5.24625763309247e-17;-8.025871371608241e-19;-0.031697016467211236;-0.028898811121112457;-0.00046086389854039394;0.0;0.14872240462748776;0.0;0.15915433984699115;0.002780682353140712;0.14536060372412976;0.0
11.0;1.2321147386661409;-5.24625763309247e-17;-8.025871371608241e-19;-0.03179442643580616;-0.028989263234889127;-0.00046086389854039416;0.0;0.13662226876670983;0.0;0.1509246801885924;0.002753151707106382;0.16643183045763024;0.0
12.0;0.6260495264328547;-5.24625763309247e-17;-8.025871371608241e-19;-0.031373127403775715;-0.028598056990985353;-0.00046086389854039427;0.0;0.1287657134616613;0.0;0.14357185370198933;0.002850140728569107;0.1733003881040749;0.0
13.0;0.390980193186639;-5.24625763309247e-17;-8.025871371608241e-19;-0.031203354964834052;-0.02844041115489075;-0.0004608638985403944;0.0;0.12824816706758752;0.0;0.1440723305033976;0.002889289469329764;0.169971371789851;0.0
14.0;0.41407015858805174;-5.24625763309247e-17;-8.025871371608241e-19;-0.03131335290360006;-0.0285425520980227;-0.0004608638985403943;0.0;0.12475958332854324;0.0;0.14858157546569423;0.002863011450113951;0.17090640411539038;0.0
15.0;0.6158552787015754;-5.24625763309247e-17;-8.025871371608241e-19;-0.03099932384211184;-0.028250953683731414;-0.000460863898540394;0.0;0.12257964330542773;0.0;0.15229684079860342;0.002939923134863309;0.16422764247795552;0.0
16.0;1.3775199212531177;-5.24625763309247e-17;-8.025871371608241e-19;-0.03085240738190174;-0.028114531256243365;-0.00046086389854039416;0.0;0.1269711886154154;0.0;0.16106421409585117;0.002980620478977709;0.14975861967852555;0.0
17.0;2.203260583386175;-5.24625763309247e-17;-8.025871371608241e-19;-0.03070385207253776;-0.027976587040302054;-0.00046086389854039427;0.0;0.13794054581409154;0.0;0.1698455969126057;0.003022164512740556;0.12877447117747018;0.0
18.0;2.5680534184556763;-5.24625763309247e-17;-8.025871371608241e-19;-0.030849543183364574;-0.02811187164314318;-0.00046086389854039405;0.0;0.14771540281399836;0.0;0.17669998163378534;0.0026351577621175275;0.11145957211966467;0.0
19.0;10.41621114410528;-5.24625763309247e-17;-8.025871371608241e-19;-0.023196741827784417;-0.021005698955567056;-0.0004608638985403941;0.0;0.19259872946399106;0.0;0.2201719169029323;0.006642787154146855;0.04574966741810082;0.0
20.0;29.471977240533633;-5.24625763309247e-17;-8.025871371608241e-19;-0.011245193204566871;-0.009907832376664477;-0.00046086389854039405;0.0;0.22304116579257496;0.0;0.24879773428829352;0.023308862613608174;0.003936777223202542;0.0
21.0;29.16930186464739;-5.24625763309247e-17;-8.025871371608241e-19;-0.011055469584713602;-0.00973166044394362;-0.0004608638985403939;0.0;0.21866747821005203;0.0;0.24528829432879407;0.023467664998258555;0.0027028631523582387;0.0
22.0;28.996574187531305;-5.24625763309247e-17;-8.025871371608241e-19;-0.01065906507499454;-0.00936357054205531;-0.0004608638985403942;0.0;0.21304008891185494;0.0;0.24079423704583586;0.023744554601591097;0.0009401268858795595;0.0
23.0;27.753071569312084;-5.24625763309247e-17;-8.025871371608241e-19;-0.010820429990960138;-0.009513409392610845;-0.0004608638985403941;0.0;0.20094050342005082;0.0;0.2309949468383311;0.023177991692976848;0.0007638506278486271;0.0
24.0;27.496561587467202;-5.24625763309247e-17;-8.025871371608241e-19;-0.01083145234372881;-0.00952364443446952;-0.0004608638985403937;0.0;0.19647146426717532;0.0;0.23022066330245863;0.023007453539951917;0.0007638506278482076;0.0
25.0;23.895891574727834;-5.761133377917496e-17;-8.624570191610069e-19;-0.012692684232360398;-0.011192172670132231;-0.00043500858269981876;0.0;0.15930139587117342;0.0;0.2097818220660987;0.02060787114526747;0.007579773839955473;0.0
26.0;23.847857097932447;-5.761133377917496e-17;-8.624570191610069e-19;-0.012404218329666376;-0.01092431147476651;-0.0004350085826998194;0.0;0.15645717496663927;0.0;0.2077649603345931;0.020632046161766775;0.007109710396997513;0.0
27.0;30.711043068393934;-5.761133377917496e-17;-8.624570191610069e-19;-0.006771262291802822;-0.0056937094393170636;-0.00043500858269981935;0.0;0.127293455782652;0.0;0.21642962194984358;0.02748445846642672;0.002350317214757765;0.0
28.0;39.922229554216415;-5.761133377917496e-17;-8.624570191610069e-19;-3.940826642836059e-12;-5.075245169116729e-13;-0.0004350085826998195;0.0;0.09919754166675208;0.0;0.22771224751328753;0.030341308935979982;0.0011164031439233472;0.0
29.0;44.76487790448073;-5.761133377917496e-17;-8.624570191610069e-19;-5.985935273936456e-13;-1.0594339246912899e-13;-0.00043500858269981957;0.0;0.06980886889164797;8.170637868594343e-16;0.24767774467678338;0.030341308936199365;0.0011164031439261164;0.0
