Hour;EOM_price;PROD_Alkaline_base;PROD_Alkaline_peak
1.0;116.16199580561015;1.897719886743253e-13;3.90924701271627e-13
2.0;51.78053077036944;4.260011594853276e-13;8.77463190412427e-13
3.0;2.027342802347204e-6;1.4171190483797926e-5;1.5966393234710574e-5
4.0;1.9690719104274606e-6;1.4183903137076834e-5;1.596884773298801e-5
5.0;2.035796941633904e-6;1.4169351760155491e-5;1.5966043644597877e-5
6.0;9.82884326516036;2.2492802123686346e-12;4.629270980799788e-12
7.0;158.18885549183872;1.3933561448365462e-13;2.8703394749822384e-13
8.0;180.56623308797953;1.2205802466581505e-13;2.5144385226142717e-13
9.0;117.42035537122543;1.8771670943902264e-13;3.8669124727093825e-13
10.0;67.94717224933775;3.245146528746195e-13;6.68451697513427e-13
11.0;2.1383149573925797e-6;1.4154227746083718e-5;1.59616135684386e-5
12.0;2.1306188311708277e-6;1.4155049524656614e-5;1.5961916359943433e-5
13.0;2.1303538777981365e-6;1.4155060798409937e-5;1.5961927740187047e-5
14.0;2.1303021959988003e-6;1.4155062884327771e-5;1.5961929712202165e-5
15.0;2.1302797008173963e-6;1.4155062657649239e-5;1.5961930445879284e-5
16.0;2.130285030475681e-6;1.4155059292309717e-5;1.5961929961876818e-5
17.0;2.130456458145612e-6;1.415504128707663e-5;1.5961923018030702e-5
18.0;43.17582244752064;5.109240852429496e-13;1.0523508565978855e-12
19.0;204.71822409051578;1.0765629172957707e-13;2.217773056134873e-13
20.0;114.40680589830163;1.9269193940951168e-13;3.9693918874431477e-13
21.0;2.1567469652657312e-6;1.4145401273862285e-5;1.5960945107320648e-5
22.0;2.046719537509057e-6;1.4169404651179273e-5;1.596542002692227e-5
23.0;2.02594286476906e-6;1.4169437210663934e-5;1.596659738625596e-5
24.0;2.0249602629926398e-6;1.4169492350795595e-5;1.596662977806916e-5
25.0;1.7594849136800502e-6;1.3959711925855824e-5;1.57733152961695e-5
26.0;2.010906719672712e-6;1.3919730376827254e-5;1.5768491330795292e-5
27.0;1.962380648692785e-6;1.3937381201007845e-5;1.577036422929541e-5
28.0;1.9284422151824843e-6;1.3934361390872256e-5;1.577186979139189e-5
29.0;1.8997871863794419e-6;1.3937297740419854e-5;1.5773085001236525e-5
30.0;2.009089814768528e-6;1.3919383250360465e-5;1.5768532654393847e-5
31.0;49.1698618254289;4.940204578791658e-13;1.01753282554518e-12
32.0;55.345431018883914;4.388023290292709e-13;9.038199675557288e-13
33.0;9.928834562176005;2.4489965948009738e-12;5.039242363565245e-12
34.0;9.722970078363542;2.5025658588812677e-12;5.149297845471448e-12
35.0;0.0005047810815946231;8.165894797946332e-8;1.6696067585378996e-7
36.0;2.1343362883180003e-6;1.3900931072995013e-5;1.5762655688472538e-5
37.0;7.357912298866094e-6;1.3388832934152993e-5;1.5557335461383546e-5
38.0;8.684573438117686e-6;1.3188227919382338e-5;1.5507251959396983e-5
39.0;-1.766806092733418e-5;1.0094064774348759e-5;1.1339485097782115e-5
40.0;125.65747125598892;1.9317687881498365e-13;3.979369618839125e-13
41.0;324.2904246927091;7.486991194460801e-14;1.5423804977858302e-13
42.0;457.64101530880697;5.3045332177200796e-14;1.0927888200718568e-13
43.0;394.58162323607837;6.152920842952498e-14;1.2675599141505741e-13
44.0;238.50924290117075;1.0178932169410092e-13;2.0969135601996913e-13
45.0;62.265764404071795;3.9012959774040777e-13;8.035825892243028e-13
46.0;2.015588703763103e-6;1.3919452280899981e-5;1.5768328669789964e-5
47.0;2.0007785693872694e-6;1.3921550390345956e-5;1.5768785119362104e-5
48.0;1.9244728987003773e-6;1.3946012643857253e-5;1.5771008858689395e-5
