Hour;EOM_price;PROD_Alkaline_base;PROD_Alkaline_peak
1.0;114.62294806027015;1.0154908593685117e-14;5.170076970159604e-13
2.0;49.973051874350375;2.3307597162046773e-14;1.1866234384102194e-12
3.0;1.8168704677951102e-5;1.526274438530522e-5;1.5182905538908636e-5
4.0;1.8567519540065988e-5;1.525265330975177e-5;1.5158538438317007e-5
5.0;1.769562465023292e-5;1.5274590794777425e-5;1.5212907511763126e-5
6.0;9.360218333715862;1.2452828438890656e-13;6.339288913041731e-12
7.0;156.83937621232394;7.420559768104664e-15;3.7779727028680434e-13
8.0;180.43252177899092;6.449744773660536e-15;3.283712216608048e-13
9.0;122.45779789119263;9.504219427944913e-15;4.838800537892516e-13
10.0;65.0342316094872;1.7903593186244514e-14;9.115025945039872e-13
11.0;1.988444999824377e-5;1.5218989777657926e-5;1.506990591638395e-5
12.0;1.9875241281948867e-5;1.5219258445761573e-5;1.5074851605533586e-5
13.0;1.9875069158729496e-5;1.5219262894203737e-5;1.5074861179361004e-5
14.0;1.9875060384678667e-5;1.5219263132487051e-5;1.507486202561253e-5
15.0;1.987510850714689e-5;1.5219261923914928e-5;1.5074859350184965e-5
16.0;1.9875247988514596e-5;1.5219258398887195e-5;1.5074851018388793e-5
17.0;1.987571360867157e-5;1.521924658699716e-5;1.5074821035626454e-5
18.0;47.848801157991396;2.434138376297194e-14;1.2392537579328827e-12
19.0;203.87439844645044;5.708060650613654e-15;2.9061060098210336e-13
20.0;112.75081524781538;1.0324047238992098e-14;5.256188135250473e-13
21.0;2.0141503055827167e-5;1.5212809512498536e-5;1.5056016480636049e-5
22.0;1.8317101749664955e-5;1.52588503842229e-5;1.5175281501624363e-5
23.0;1.7978524889416507e-5;1.526757354188506e-5;1.5195208945160301e-5
24.0;1.797728446019072e-5;1.5267605090373743e-5;1.5195325323855192e-5
25.0;1.7555281699460596e-5;1.5052989126281685e-5;1.4980727768040873e-5
26.0;1.9349148342126516e-5;1.5007130936912058e-5;1.4872990561881205e-5
27.0;1.8617809979327497e-5;1.5025541087487222e-5;1.4922815146159516e-5
28.0;1.816688660584518e-5;1.5037397980110834e-5;1.4951066062707103e-5
29.0;1.819323169967928e-5;1.5036725154280725e-5;1.4949420372859491e-5
30.0;1.9526086915862846e-5;1.5002606716106764e-5;1.4861394950332315e-5
31.0;48.06213190377802;2.668507877632077e-14;1.3585749341993724e-12
32.0;59.799545808452;2.144247993131979e-14;1.0916718743215465e-12
33.0;9.927208534274097;1.2927966873843244e-13;6.581216669336492e-12
34.0;9.83422594268392;1.3063644142042564e-13;6.650277727176256e-12
35.0;0.0025533097152413142;6.099653212076675e-11;2.9434883249987717e-9
36.0;1.9590960312930525e-5;1.5000940206159292e-5;1.4857121225079754e-5
37.0;1.9590653491883617e-5;1.5000948408820893e-5;1.4857165391972353e-5
38.0;1.962206790556082e-5;1.4999943799902253e-5;1.4836007746633301e-5
39.0;0.0038987292729604074;3.223109707254406e-10;1.1954231701332103e-8
40.0;122.12027603665545;1.0495812480997476e-14;5.343641933227648e-13
41.0;327.59156452663586;3.913522074402473e-15;1.9924690573533252e-13
42.0;458.72751524499586;2.794312101559152e-15;1.422653499182009e-13
43.0;392.90649477338434;3.262771493492238e-15;1.661157094559536e-13
44.0;238.60520805480593;5.372667459022421e-15;2.7353518751941543e-13
45.0;60.61103208338567;2.116182066580111e-14;1.0773833158092692e-12
46.0;1.9582917838233408e-5;1.5001147429353742e-5;1.485748695993486e-5
47.0;1.955953161250039e-5;1.5001751538139684e-5;1.4858908885082522e-5
48.0;1.805053708223265e-5;1.504034727604694e-5;1.4945637130532088e-5
