Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0030855904714621753;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890724921159445e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
2.0;0.003086643175836928;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890724573820462e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
3.0;0.0030869395672545193;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.989072447602648e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
4.0;0.003087033215802223;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890724445130515e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
5.0;0.003087016794647008;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.989072445054772e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
6.0;0.00308667051294279;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.989072456481329e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
7.0;0.0030823288438812002;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.989072599735374e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
8.0;0.002846692513038129;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.989080374819386e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
9.0;0.002845814989637533;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890804037566166e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
10.0;0.002845760634075074;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890804055339488e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
11.0;0.002845795255941719;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890804044015263e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
12.0;0.0028458040013266475;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890804041158217e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
13.0;0.0028458231913796317;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890804034884995e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
14.0;0.002845820959748739;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.989080403560783e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
15.0;0.0028457330875100366;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890804064301804e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
16.0;0.0028456142755479844;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.989080410129528e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
17.0;0.002845564641441624;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.9890804046960694e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
18.0;0.002845532282215225;0.0;0.0;1.6532411502785736e-6;0.0;0.0;0.0;0.0;-1.98907993806248e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81249589195455;107.18346409850706;41.72913603654673;107.18346409850706;-0.00023026296716986385
