Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
2.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
3.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
4.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
5.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
6.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
7.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
8.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
9.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
10.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
11.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
12.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
13.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
14.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
15.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
16.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
17.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
18.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
19.0;0.0;0.0;0.17914919060208423;3.2488286027974564e-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.9949001930250492e-6;105.8124786427465;107.18344683916729;41.72911878733879;107.18344683916729;-3.351111143431163e-5
