Timestep;H2M_price_h;H2M_price_d;H2M_price_m;H2M_price_y;demand;SMR;electrolysis;SMRCCS
1.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.0667556620601108;5.806460360977982e-10;0.0003499999999892535
2.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460334501765e-10;0.00035
3.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460324125949e-10;0.00035
4.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460357757901e-10;0.00035
5.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460358115688e-10;0.00035
6.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460361156875e-10;0.00035
7.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460359367941e-10;0.00035
8.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460471534077e-10;0.00035
9.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460483162146e-10;0.00035
10.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460501230375e-10;0.00035
11.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460499441442e-10;0.00035
12.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806459560966883e-10;0.00035
13.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.80646047171297e-10;0.00035
14.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460476185304e-10;0.00035
15.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460502661521e-10;0.00035
16.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460497831401e-10;0.00035
17.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.07;5.806460573503291e-10;0.00035
18.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.0;5.806460572429931e-10;0.00035
19.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.0;5.806460570283211e-10;0.00035
20.0;0.0;0.0;131.55279978860298;0.0;0.03767123287671233;0.0;5.806460573861078e-10;0.00035
