Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0050224112670419355;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518083746525938e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
2.0;0.005022043854564104;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518085463433003e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
3.0;0.005021771340344836;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518084579789236e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
4.0;0.005021594690436019;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518085610768088e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
5.0;0.005021616058518218;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518084953212815e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
6.0;0.005022032664241724;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518082158217993e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
7.0;0.005022562827457896;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.251808126926379e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
8.0;0.005022357236224294;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518087357639448e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
9.0;0.004766437613302692;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518137217296653e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
10.0;0.004745656229903164;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.25181428748033e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
11.0;0.004744373958740669;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518143337814416e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
12.0;0.004745587013439085;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518141840318624e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
13.0;0.004838316426065444;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518121230275173e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
14.0;0.004804067020490167;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.251812985839904e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
15.0;0.004739127654522107;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518144970882203e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
16.0;0.004406343925259152;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.251821035932868e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
17.0;0.004400127336541098;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518212421475406e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
18.0;0.004399045662610839;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518215369319312e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
19.0;0.004399173056331629;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518220534480626e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
20.0;0.0044007768217543;0.0;0.0;1.9785298886711343e-9;0.0;0.0;0.0;0.0;-1.2518210605948056e-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.81248052370958;107.18344876368758;41.72912066830184;107.18344876368758;-1.459249465811254e-10
