Timestep;REC_price_h;REC_price_d;REC_price_m;REC_price_y;Biomass_h;Solar_h;WindOffshore_h;WindOnshore_h;electrolysis_h;Biomass_d;Solar_d;WindOffshore_d;WindOnshore_d;electrolysis_d;Biomass_m;Solar_m;WindOffshore_m;WindOnshore_m;electrolysis_m;Biomass_y;Solar_y;WindOffshore_y;WindOnshore_y;electrolysis_y
1.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
2.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
3.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
4.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
5.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
6.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
7.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
8.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
9.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
10.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
11.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
12.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
13.0;0.0;0.0;0.030544333515304972;3.022831387323882e-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.028239098512371e-7;105.66566300693071;105.72220261598984;41.58230315152395;105.72220261598984;-1.4981758335921233e-5
