Timestep;H2M_price_h;H2M_price_d;H2M_price_m;H2M_price_y;demand;SMR;electrolysis;SMRCCS
1.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052726094e-14;0.0003499999999255546
2.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052721247e-14;0.0003499999999255546
3.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052718016e-14;0.0003499999999255546
4.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.423960905271317e-14;0.0003499999999255546
5.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.423960905271317e-14;0.0003499999999255546
6.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.423960905271963e-14;0.0003499999999255546
7.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052740634e-14;0.0003499999999255546
8.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.423960905279718e-14;0.0003499999999255546
9.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052882806e-14;0.0003499999999255546
10.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.423960905292158e-14;0.0003499999999255546
11.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052900577e-14;0.0003499999999255546
12.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.42396090528925e-14;0.0003499999999255546
13.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052876343e-14;0.0003499999999255546
14.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.423960905287796e-14;0.0003499999999255546
15.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052958738e-14;0.0003499999999255546
16.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.423960905384731e-14;0.0003499999999255546
17.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.423960906897567e-14;0.0003499999999255546
18.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239610599233953e-14;0.0003499999999255546
19.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239622049071223e-14;0.0003499999999255546
20.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609060169104e-14;0.0003499999999255546
21.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052913502e-14;0.0003499999999255546
22.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052798795e-14;0.0003499999999255546
23.0;131.9619321257235;0.0;0.0;0.0;0.03767123287671233;0.03738395650670701;2.4239609052764868e-14;0.0003499999999255546
