scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2021;CumulativeEmissions;TotalCost;;CNH2_cap_target_2024;CNH2_cap_target_2030;CNH2_demand_2024;CNH2_demand_2030;gamma;max_em_change;Additionality
1;ref;294;82.30151369;11.85673636;1.746368569;1.852251398;2.407120712;6.576645385;0;0;16.47189138;1.162266789;6.671427993;5.222920221;0;0;0.518247009;86.6486273;11763.2925;1.99E+06;;0;0;0;0;1;10;NA
2;ref;282;20.09176388;10.71726938;0.640704231;1.873576479;3.586228646;9.713684051;0.003172297;0;16.37572829;1.355448115;7.213463858;5.433256744;0.002382746;0;0.518247009;84.40956971;11743.15853;1.99E+06;-20.13396903;0;0;1;10;1;10;NA
3;ref;289;20.64250075;10.15816606;1.341880702;1.855514405;4.208892922;7.501073583;0.01800782;0;16.32621204;1.022534656;7.786600407;4.152305235;0.030373367;0;0.518247009;84.65192168;11726.88436;2.00E+06;-36.40814067;0;0;1;10;1;10;Yearly
4;ref;282;20.38333212;10.71726938;0.640704231;1.873576479;3.586228646;9.713684051;0.003172297;0;16.37572829;1.355448115;7.213463858;5.433256744;0.002382746;0;0.518247009;84.40956971;11743.15853;1.99E+06;-20.13396903;0;0;1;10;1;10;Monthly
5;ref;282;20.32127439;10.71726938;0.640704231;1.873576479;3.586228646;9.713684051;0.003172297;0;16.37572829;1.355448115;7.213463858;5.433256744;0.002382746;0;0.518247009;84.40956971;11743.15853;1.99E+06;-20.13396903;0;0;1;10;1;10;Daily
6;ref;282;20.53787386;10.71726938;0.640704231;1.873576479;3.586228646;9.713684051;0.003172297;0;16.37572829;1.355448115;7.213463858;5.433256744;0.002382746;0;0.518247009;84.40956971;11743.15853;1.99E+06;-20.13396903;0;0;1;10;1;10;Hourly
7;ref;264;19.80259145;16.23851267;0.94989173;1.956477182;2.864224978;7.862149545;0;0.001914157;16.15655754;1.528745698;7.432316986;5.888638274;0;0.000976506;0.518247009;80.55758744;11665.87466;1.99E+06;-97.41784146;4;40;0;0;1;10;NA
8;ref;264;18.83276498;16.23851028;0.949322211;1.956474245;2.864220442;7.862164504;0;0.001914157;16.15663013;1.528785127;7.432319023;5.888635891;0;0.000976506;0.518247009;80.55755611;11665.87574;1.99E+06;-97.41675788;4;40;0;0;1;10;Yearly
9;ref;264;17.44823204;16.23851267;0.94989173;1.956477182;2.864224978;7.862149545;0;0.001914157;16.15655754;1.528745698;7.432316986;5.888638274;0;0.000976506;0.518247009;80.55758744;11665.87466;1.99E+06;-97.41784146;4;40;0;0;1;10;Monthly
10;ref;264;18.48563621;16.23851267;0.94989173;1.956477182;2.864224978;7.862149545;0;0.001914157;16.15655754;1.528745698;7.432316986;5.888638274;0;0.000976506;0.518247009;80.55758744;11665.87466;1.99E+06;-97.41784146;4;40;0;0;1;10;Daily
11;ref;264;18.66108641;16.23851267;0.94989173;1.956477182;2.864224978;7.862149545;0;0.001914157;16.15655754;1.528745698;7.432316986;5.888638274;0;0.000976506;0.518247009;80.55758744;11665.87466;1.99E+06;-97.41784146;4;40;0;0;1;10;Hourly
12;ref;282;17.88740105;10.71731885;0.641884546;1.873576469;3.58622947;9.713675548;0.003172144;0.00182044;16.37557711;1.355463902;7.21346062;5.433254485;0.002383592;0.003998717;0.518247009;84.40959031;11743.15776;1.99E+06;-20.13473337;4;40;1;10;1;10;NA
13;ref;289;19.88090026;10.15820489;1.344017549;1.855513662;4.208895359;7.501046052;0.018015309;0.00189215;16.32611073;1.022545506;7.786596241;4.152313853;0.030334795;0.000451361;0.518247009;84.65191089;11726.88349;2.00E+06;-36.40900674;4;40;1;10;1;10;Yearly
14;ref;282;20.12477402;10.71731885;0.641884546;1.873576469;3.58622947;9.713675548;0.003172144;0.00182044;16.37557711;1.355463902;7.21346062;5.433254485;0.002383592;0.003998717;0.518247009;84.40959031;11743.15776;1.99E+06;-20.13473337;4;40;1;10;1;10;Monthly
15;ref;282;18.12994832;10.71731885;0.641884546;1.873576469;3.58622947;9.713675548;0.003172144;0.00182044;16.37557711;1.355463902;7.21346062;5.433254485;0.002383592;0.003998717;0.518247009;84.40959031;11743.15776;1.99E+06;-20.13473337;4;40;1;10;1;10;Daily
16;ref;282;18.24080456;10.71731885;0.641884546;1.873576469;3.58622947;9.713675548;0.003172144;0.00182044;16.37557711;1.355463902;7.21346062;5.433254485;0.002383592;0.003998717;0.518247009;84.40959031;11743.15776;1.99E+06;-20.13473337;4;40;1;10;1;10;Hourly
