scen_number;sensitivity;n_iter;CCGT_new;WindOffshore;SPP_coal;WindOnshore;Nuclear;Solar;OCGT;SMR;SMRCCS;Alkaline_base;Alkaline_peak;Ind;Import
2;ref;10;0.0;6382.665079233674;2239.590906552464;20621.219613542653;53962.70281700006;61663.78728163494;0.0;2897.21172926663;7424.101360887796;17793.9340678629;14225.723541230724;2434.6110527866267;909661.7114761521
2;ref;10;0.0;6382.665079233674;2239.590906552464;20621.219613542653;53962.70281700006;61663.78728163494;0.0;2897.21172926663;7424.101360887796;17793.9340678629;14225.723541230724;2434.6110527866267;909661.7114761521
2;ref;10;0.0;6382.665079233674;2239.590906552464;20621.219613542653;53962.70281700006;61663.78728163494;0.0;2897.21172926663;7424.101360887796;17793.9340678629;14225.723541230724;2434.6110527866267;909661.7114761521
2;ref;10;0.0;6382.665079233674;2239.590906552464;20621.219613542653;53962.70281700006;61663.78728163494;0.0;2897.21172926663;7424.101360887796;17793.9340678629;14225.723541230724;2434.6110527866267;909661.7114761521
5;ref;10;0.0;19191.592984066843;21.285378994668076;29657.34518420126;53962.702810528535;59291.99459606214;0.0;2507.829730301284;5954.096305564042;19528.613152348367;15544.044942313916;2417.098075227709;841769.3210899128
5;ref;10;0.0;19191.592984066843;21.285378994668076;29657.34518420126;53962.702810528535;59291.99459606214;0.0;2507.829730301284;5954.096305564042;19528.613152348367;15544.044942313916;2417.098075227709;841769.3210899128
1;ref;5000;2.0465802805404798e-8;22142.50053120514;49395.82718820987;1.0140672255387682e6;48700.518519857054;95353.86563717258;2583.0610761976977;1.7583967267654264e-11;1.384059350636585e-10;1.583910976630475e-9;32.60591024685325;165016.57028799996;6.764117889841921e6
1;ref;5000;2.0465802805404798e-8;22142.50053120514;49395.82718820987;1.0140672255387682e6;48700.518519857054;95353.86563717258;2583.0610761976977;1.7583967267654264e-11;1.384059350636585e-10;1.583910976630475e-9;32.60591024685325;165016.57028799996;6.764117889841921e6
1;ref;5000;3.8127092615437196e-8;22142.500531580838;44858.674954184746;1.0096981848738969e6;48710.423495640855;98759.0013121912;3020.646222321793;6.1821994252154035e-12;1.7438184459916784e-10;163.54639898612496;1520.8669602905761;166981.11936828075;6.249809446730932e9
1;ref;2500;1.5433646715184306e-8;22142.500531422334;47520.28079050224;1.0122186429759338e6;48738.05239146553;97748.80285464968;2475.9369582604886;2.054741461446712e-9;7.146738025230846e-12;295.8854871355957;1940.5181787289307;166148.18591829477;7.276852798766571e10
1;ref;2500;1.5433646715184306e-8;22142.500531422334;47520.28079050224;1.0122186429759338e6;48738.05239146553;97748.80285464968;2475.9369582604886;2.054741461446712e-9;7.146738025230846e-12;295.8854871355957;1940.5181787289307;166148.18591829477;7.276852798766571e10
5;ref;2500;1.0931873135320495e-8;22142.500531542675;47691.853327663346;1.0130733699751272e6;48746.12329035887;97111.37912285994;2460.0578866889086;6.742683604887839e-12;6.652821644796572e-10;299.33916750146693;1945.4965711990037;166105.53001798355;7.442486476812953e10
5;ref;25;0.0;4827.358919893775;8016.384822280931;313259.4686457574;53881.09765663223;219459.9910710784;0.0;2200.218291237902;6416.753089357676;24412.25797556887;25797.60453586677;35186.805121586716;2.1193862184244446e10
5;ref;25;0.0;4827.358919893775;8016.384822280931;313259.4686457574;53881.09765663223;219459.9910710784;0.0;2200.218291237902;6416.753089357676;24412.25797556887;25797.60453586677;35186.805121586716;2.1193862184244446e10
5;ref;4219;2.0427029171353314e-9;22142.500531391594;47606.1884008985;1.0144924036861914e6;48702.979577105856;96738.68836457726;2708.0186307510353;3.4198657791191083e-12;9.39416163560643e-10;216.6355497299966;2205.9051585105567;165945.2231268128;7.388479818782954e10
