scen_number;sensitivity;n_iter;walltime;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap;Beta;EUA_2022;CumulativeEmissions;TotalCost;waterbed_sealed;CumulativeEmissions_PS;CumulativeEmissions_IND;CumulativeEmissions_H2S
1;ref;2677;1597.644006;3.496274895;1.561323903;0.201413943;1.811762367;4.536455711;0.001123497;0.002620166;5.345935358;0.19965558;1.530939922;8.084024346;0.002472597;0.001355735;0.424394031;79.84540251;13146.19903;2.26e6;2038.0;2091.532671149053;10604.418941921991;450.2474129559613
2;ref;2642;500.0523284;6.590138334;1.233652485;0.205317109;1.567870508;4.708691137;0.002279808;0.012774017;11.76463345;0.197753113;1.460542325;8.759526382;0.000534364;0.003020723;0.424394031;79.86741121;13152.14918;2.26e6;2038.0;2094.1434636704485;10604.63499148926;453.37072161545615
3;ref;2693;523.1566405;3.679579167;1.59780744;0.20624202;1.506861361;4.813100936;0.019372823;0.016502316;5.267904277;0.195445206;1.616631601;9.066348453;0.003814607;0.003870035;0.424394031;79.87455403;13147.24597;2.26e6;2038.0;2082.61189374536;10603.646295629012;460.9877853375759
4;ref;2401;446.3083165;6.206258916;1.176966532;0.206372244;0.910738027;4.250231316;0.002623612;0.010501499;10.76911205;0.165914884;0.936896594;7.300901576;0.001324894;0.023082505;0.424394031;79.88840673;13149.56573;2.26e6;2038.0;2112.401317533527;10601.562850605162;435.60156610388725
5;ref;2288;359.1956658;5.419858901;1.205133297;0.206677554;0.475478107;4.600052776;0.002880722;0.010353096;8.956554991;0.147115999;0.54465556;8.158238776;0.000670172;0.005284099;0.424394031;79.87742235;13144.53308;2.26e6;2038.0;2109.1183459507997;10600.012100363861;435.4026378974741
6;ref;10000;2088.22778;34.81641201;61.82064577;0.052982714;0.419133045;0.17599685;1.57e-5;0.000572132;48.06662292;0.088018234;1.344197319;0.113796878;3.81e-6;0.001242296;0.424254446;79.86279223;13189.59708;2.25e6;2038.0;2156.499877011291;10601.26065361712;431.83655074130826
7;ref;2531;460.1341021;21.88032557;1.552448177;0.188383885;0.418488945;3.203796702;0.00231701;0.010216429;43.17948403;0.198913877;0.636793454;3.17490092;0.002452714;0.010855686;0.424394031;79.84374499;13160.67635;2.25e6;2038.0;2114.3267568149586;10617.05789284296;429.2916977661516
8;ref;6264;711.1263745;0.541328232;0.009519293;0.040366426;0.125178054;0.126194783;0.000361457;0.001725493;0.294679619;0.040578216;0.073118768;0.135653183;8.7e-5;0.000906303;0.424254446;83.58141541;13179.19451;2.2e6;2038.0;2427.4088488750135;10176.87764790495;574.9080177827625
9;ref;6197;673.5105506;0.485907537;0.027181229;0.038996105;0.166481091;0.248843965;0.0043442;0.002101781;0.714482454;0.040348244;0.1061421;0.205721546;0.002482037;0.002261429;0.424254446;83.55882547;13176.69299;2.2e6;2038.0;2425.8602176348327;10178.219627357541;572.6131490252787
10;ref;5188;609.0919337;0.640422942;0.008715342;0.041237117;0.077559412;0.249612977;0.00037461;0.00215652;0.404874363;0.035196778;0.049645719;0.160660894;8.98e-5;0.001128115;0.424254446;83.51656586;13181.24859;2.2e6;2038.0;2425.3677315428913;10182.267848125604;573.613013079858
11;ref;3271;370.46144;0.828796113;0.027144327;0.040191792;0.064917127;0.098613518;0.001318396;0.002933863;0.64152996;0.037893072;0.123487919;0.081806617;0.000670232;0.001490517;0.424254446;83.39656108;13192.13663;2.2e6;2038.0;2421.1249449044635;10193.498998045976;577.5126821054564
12;ref;10000;1511.662775;0.574219667;0.024584508;0.036149089;0.405312191;0.001394665;1.57e-5;0.000313854;0.238404643;0.050624986;1.312739345;0.064445994;3.81e-6;0.000168018;0.424254446;83.45576148;13189.85245;2.2e6;2038.0;2421.6866580503342;10188.53505485783;579.6307420430612
13;ref;3785;431.8798458;0.580020297;0.00670461;0.041134423;0.115158243;0.171211623;0.000871495;0.002175051;0.39391579;0.039503795;0.091332708;0.092206335;0.001914836;0.002307405;0.424254446;83.49738424;13180.83777;2.2e6;2038.0;2423.66149315639;10184.6611718273;572.5151090698162
14;ref;4461;505.1445132;0.64086612;0.011975064;0.040911374;0.165617202;0.036384118;0.001380119;0.015256401;0.601052732;0.041027749;0.103188633;0.061940848;0.003030524;0.019379237;0.424254446;83.83060095;13348.37807;2.14e6;2038.0;2508.8063049330867;10150.353298896087;689.2184678913295
15;ref;4661;530.154774;0.578183125;0.006383669;0.04127724;0.253257346;0.031305713;0.005878501;0.01380995;0.330991908;0.03731713;0.132517005;0.015608191;0.007622486;0.029290839;0.424254446;83.82786466;13351.5291;2.14e6;2038.0;2508.188999658438;10152.275307780035;691.0647877902493
16;ref;3238;399.4788225;0.76737378;0.005434322;0.041036605;0.008857879;0.025899076;0.001833057;0.017688582;0.617864355;0.040619406;0.007101728;0.01587354;0.001945233;0.009524078;0.424254446;83.63068244;13362.38329;2.14e6;2038.0;2500.890100193569;10171.868391361786;689.6247964775873
17;ref;3290;375.6766553;0.761825959;0.009024164;0.038436393;0.020031138;0.02606899;0.001311511;0.016762352;0.427173028;0.039833722;0.010497121;0.028191619;0.000310298;0.004907253;0.424254446;83.64980772;13361.32493;2.14e6;2038.0;2499.8331572837005;10171.332334843897;690.1594406467775
18;ref;10000;1721.887807;0.598003969;0.101269419;0.036962044;0.540900193;0.010169112;1.55e-5;0.001743967;1.977864082;0.06036358;1.389313584;0.015750556;1.65e-5;0.001951704;0.424254446;83.62152039;13358.38527;2.14e6;2038.0;2500.629870868836;10170.065567786478;687.6898349209495
19;ref;3236;384.024161;0.759276226;0.04460424;0.041311274;0.026245411;0.023376083;0.001366173;0.015478519;0.862360395;0.038236847;0.035168821;0.017987557;0.000323031;0.003896999;0.424254446;83.63060316;13363.45467;2.14e6;2038.0;2500.0698524688673;10173.730225673673;689.6545892809124
20;ref;5201;626.1124019;0.979980958;0.036597934;0.026485544;0.012758246;0.016494829;0.001058499;0.033166542;1.644109359;0.023288147;0.023798536;0.011278632;0.002334455;0.008005741;0.424254446;87.95201747;13204.83927;2.13e6;2038.0;2469.5694865844707;9692.094513575077;1043.175269941744
21;ref;5011;611.0168246;1.319003576;0.061062152;0.029074813;0.023905351;0.016493823;0.008530535;0.037014427;0.773827337;0.021100041;0.043536991;0.012175972;0.00749691;0.009074558;0.424254446;87.94031879;13203.22447;2.13e6;2038.0;2469.596958289637;9694.202091174135;1039.4254205171862
22;ref;4228;523.7899259;1.095773876;0.080964183;0.025645025;0.038706456;0.016490901;0.0013509;0.06872057;2.640868369;0.023503184;0.031075583;0.010683898;0.00066942;0.072865293;0.424254446;87.97723534;13201.46439;2.13e6;2038.0;2471.596524176569;9690.60541588354;1039.262448348297
23;ref;4366;522.4551985;1.456635618;0.053136642;0.026180936;0.005941424;0.0164658;0.0011221;0.054982142;0.847352395;0.019328035;0.005807235;0.009367707;0.001322486;0.125246521;0.424254446;87.95576776;13202.49726;2.13e6;2038.0;2473.197225208425;9690.609820047339;1038.6902149907755
24;ref;10000;1613.083842;1.62619056;0.133884072;0.037126679;0.493423712;0.023061508;0.000115046;0.011078549;2.373573477;0.048416152;1.561623619;0.033861691;8.37e-5;0.002213541;0.424394031;88.00573892;13196.23709;2.13e6;2038.0;2473.5803894948863;9688.153550941894;1034.503144694559
25;ref;4721;556.5476604;1.463918495;0.043975852;0.025884894;0.000721419;0.016466122;0.000769168;0.043449276;1.472875393;0.015675105;0.000671649;0.008405361;0.001673471;0.022204371;0.424254446;87.96874293;13201.55466;2.13e6;2038.0;2472.819163914833;9689.747388774114;1038.9881032606481
26;ref;5214;5181.409642;0.054877692;0.005288206;0.041347746;0.424298318;0.336960037;0.000185459;0.000851248;0.104921832;0.036358374;0.223568807;0.331815602;0.000197481;0.000445383;0.000741399;80.81055243;11884.75469;2.2e6;2040.0;2117.08362113294;9335.164083345444;432.5069897232189
27;ref;2633;464.8747238817169;0.5189360272420724;0.014461126225029021;0.2059006223047892;1.6047017607992635;4.745732462512697;0.002282303944867648;0.012706088808972015;0.8588245645179468;0.18580759266801541;1.4510438662010643;8.68835345078404;0.0011550892143495882;0.0030055151645778135;0.000741399;80.34738784668376;11894.645237717594;2.202321357585304e6;2040.0;2074.4970558456753;9371.569768699981;448.578413171938
27;low natural gas price;1540;271.3762512620835;4.410730148211702;0.07114564792934094;0.20275973548554918;1.1697905319601085;6.624504926219061;0.012942697473739252;0.09108194671463331;3.313661641287215;0.18768282522369412;1.8834871492949938;12.830629778628815;0.0048509111749870685;0.04745861430485428;0.000741399;98.30123600174959;11878.195081763446;1.9224138245679047e6;2040.0;2668.182842776908;8020.508055324395;1189.5041836621415
27;high natural gas price;2229;338.5223785187835;0.7319316461655752;0.05860521987681538;0.2065543080624234;1.6685829049032503;3.3351952266254203;0.00313721944962279;0.012636563722600046;0.5983617847121472;0.11999961895218816;1.280016642008337;3.9339872724932086;0.003315277733446033;0.003012477473475975;0.000741399;80.88605585555639;12072.439875023754;2.2437340979339415e6;2040.0;2331.8247965183405;9373.538718557726;367.07635994769777
27;Low RES buildout;2876;489.21287497290024;3.2481269318298605;0.08196032662289476;0.20608278437416647;1.5042697257640285;4.099743020296012;0.014287771241439937;0.05186897150859649;1.823184036578162;0.13771988300385893;1.3333675714884101;6.843169570672643;0.004164013645491909;0.12082763125633295;0.000741399;83.75823159390987;13067.60786420417;2.0192772223614845e6;2040.0;3071.275195110451;9115.36385761399;867.0396555405384
27;High RES buildout;2673;388.5513317592669;0.47810362948605667;0.05386495099284652;0.20577856520284366;1.728356815409821;4.506898800374161;0.002129287863393661;0.012419307466239413;0.7251427396373769;0.17082102489016743;1.4201468470580378;8.130297128432051;0.004686238254449779;0.013180118688862581;0.000741399;80.30137103299052;11505.347848824125;2.203567388191082e6;2040.0;1695.3683933167144;9381.201527696023;428.7779278113887
27;low industry emission reduction rate;2502;382.0857473778002;2.850348067599843;0.020697273653017826;0.20611945337911391;2.094474009290788;5.25018557620552;0.0025526743055041758;0.014001727488952754;2.8729251696191556;0.15645223522583804;1.4534968490965563;9.620979079963892;0.0005966684256140596;0.0033052399616346167;0.000741399;86.44683758234842;11740.213837468433;2.2177620291479207e6;2041.0;2032.6919860308797;9275.367261219966;432.15459021758085
27;cheap SMR+CCS;2633;417.3950738959168;0.5189360272420724;0.014461126225029021;0.2059006223047892;1.6047017607992635;4.745732462512697;0.002282303944867648;0.012706088808972015;0.8588245645179468;0.18580759266801541;1.4510438662010643;8.68835345078404;0.0011550892143495882;0.0030055151645778135;0.000741399;80.34738784668376;11894.645237717594;2.202321357585304e6;2040.0;2074.4970558456753;9371.569768699981;448.578413171938
27;expensive SMR+CCS;2633;424.9352592604669;0.5189360272420724;0.014461126225029021;0.2059006223047892;1.6047017607992635;4.745732462512697;0.002282303944867648;0.012706088808972015;0.8588245645179468;0.18580759266801541;1.4510438662010643;8.68835345078404;0.0011550892143495882;0.0030055151645778135;0.000741399;80.34738784668376;11894.645237717594;2.202321357585304e6;2041.0;2083.377503888117;9245.571572063269;400.43645870140546
