Parameter;Scaling;remarks
NG SF;0.5;low natural gas price
NG SF;2;high natural gas price
PowerSector Solar-WindOnshore-WindOffshore max_YoY_new_cap;0.5;Low RES buildout
PowerSector Solar-WindOnshore-WindOffshore max_YoY_new_cap;2;High RES buildout
scenario max_em_change;0.5;low industry emission reduction rate
HydrogenSector electrolysis-SMRCCS max_YoY_new_cap;0.8;High electrolysis buildout
HydrogenSector electrolysis-SMRCCS max_YoY_new_cap;1.2;Extreme electrolysis buildout
scenario RES_target_2030;1.5;2030 res target 60
scenario RES_target_2030;2;2030 res target 80
PowerSector Solar-WindOnshore-WindOffshore YoY_OC;0.5;Expensive RES
PowerSector Solar-WindOnshore-WindOffshore YoY_OC;2;Cheap RES
EOM SF;0.5;low demand growth
EOM SF;2;high demand growth
HydrogenSector electrolysis YoY_OC;0.5;expensive electrolysis
HydrogenSector electrolysis YoY_OC;2;cheap electrolysis
scenario CNH2_cap_target_2030;2;double CNHydrogen target 2030
General discount_rate;0.8;Low discount rate
General discount_rate;1.2;High discount rate
PowerSector Nuclear-Biomass max_YoY_new_cap;0;No new nuclear-biomass
HydrogenSector SMRCCS YoY_OC;0.5;cheap SMR+CCS
HydrogenSector SMRCCS YoY_OC;2;expensive SMR+CCS
