Hour;EOM_price;PROD_Alkaline_base;PROD_Alkaline_peak
1.0;119.38277720873415;7.897171773540643e-14;5.319204973046682e-13
2.0;57.310739470944455;1.644427615457531e-13;1.1076746909369522e-12
3.0;2.1363438640541437e-6;1.5268021015129422e-5;1.5536970063785777e-5
4.0;3.5554373943366666e-6;1.5236518148882817e-5;1.551234742102156e-5
5.0;2.129599725552516e-6;1.526815727693243e-5;1.5537074233008087e-5
6.0;17.320625700866426;5.433109931732322e-13;3.660060343488894e-12
7.0;159.6415869990426;5.906266767670173e-14;3.9781630388363186e-13
8.0;182.98426706199615;5.1528068183473954e-14;3.4706531895875645e-13
9.0;123.91723914652057;7.607150340879934e-14;5.123849090595829e-13
10.0;68.22156970446451;1.381021396210769e-13;9.30232154372603e-13
11.0;2.509658506141339e-6;1.5260429868019032e-5;1.553101684014558e-5
12.0;2.2773212962024925e-6;1.5260624951462047e-5;1.5527239437775436e-5
13.0;2.272135816541343e-6;1.5260556995199315e-5;1.552713764234306e-5
14.0;2.2800911499193716e-6;1.5260675955814678e-5;1.5527305463779697e-5
15.0;2.2868328689667035e-6;1.5260845307435817e-5;1.552759491278968e-5
16.0;2.314533178956724e-6;1.52609996755431e-5;1.5528375668683733e-5
17.0;2.299420433768945e-6;1.526091903934553e-5;1.5527911177009023e-5
18.0;51.10487984324731;1.843651515568678e-13;1.2418839368976956e-12
19.0;204.2604444101015;4.6163626088560144e-14;3.1093221624704723e-13
20.0;117.26131678200291;8.040554770774309e-14;5.415786752451296e-13
21.0;2.9810343123476565e-6;1.5251489723945698e-5;1.552499752624996e-5
22.0;2.2911253045598336e-6;1.5264771709249927e-5;1.5534388516926524e-5
23.0;2.28599901236474e-6;1.5265007767903593e-5;1.5534680285020438e-5
24.0;2.2857133456506556e-6;1.526501604266818e-5;1.5534687700255446e-5
25.0;1.2066839864463054e-6;1.5099669201613315e-5;1.531036247126896e-5
26.0;1.8594136789153305e-6;1.5085725443228947e-5;1.5301518396779836e-5
27.0;1.717227437488331e-6;1.5088542418751682e-5;1.5303489045171586e-5
28.0;1.712826413976543e-6;1.5088804628604946e-5;1.530393182956477e-5
29.0;1.7567999798874505e-6;1.5087822012550463e-5;1.5303175562961686e-5
30.0;2.0940511925232054e-6;1.5081253723112548e-5;1.529852592847624e-5
31.0;51.4941334853971;2.0149270486069476e-13;1.3572078283475826e-12
32.0;59.09600035667463;1.755687622195667e-13;1.182580930192664e-12
33.0;9.97287060768567;1.0303326697170018e-12;6.937331802561205e-12
34.0;9.991171810304108;1.0284586718323812e-12;6.9247301278632435e-12
35.0;8.535232035198733;1.2056781898826064e-12;8.115985509822401e-12
36.0;1.9202608077199626e-6;1.5084537395883729e-5;1.530072125556629e-5
37.0;1.9837951636780447e-6;1.508300032884426e-5;1.5299509761662573e-5
38.0;1.9580620299710125e-6;1.508269773280018e-5;1.529898631621432e-5
39.0;8.036393858566605;1.2798998740693141e-12;8.614606227879644e-12
40.0;122.3848270937099;8.480412015013966e-14;5.711969316452714e-13
41.0;306.7595080816967;3.386601008379004e-14;2.2809887860091346e-13
42.0;431.8532221748544;2.4055566318347864e-14;1.6202152556610155e-13
43.0;368.2117319354376;2.8215325209307373e-14;1.9003913154156134e-13
44.0;223.77459925370917;4.641800414843111e-14;3.1264254476835286e-13
45.0;69.64288720279998;1.4904035522116982e-13;1.0038842136479853e-12
46.0;1.916247513675257e-6;1.5084626425017876e-5;1.5300793059420867e-5
47.0;1.895947631017137e-6;1.5085035508790024e-5;1.530107457677495e-5
48.0;1.4183684353761328e-6;1.5094528391567688e-5;1.5307271813580213e-5
